id,SCOREMARGIN,Unnamed: 0,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
0,3,0,Cutting Finger Roll Layup Shot,14.786300785176122,201967.0,Dante Cunningham,20.35146,34.41988,Made Shot,20151027,6,21500003,Shot Chart Detail,1.0,GSW,16,20,10,1,201939,Stephen Curry,Regular,56,1,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:1:10:56,NOP
1,3,1,Jump Shot,14.153979683767394,203076.0,Anthony Davis,55.92663,36.69426,Missed Shot,20151027,9,21500003,Shot Chart Detail,1.0,GSW,41,39,10,1,201939,Stephen Curry,Regular,29,1,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:10:29,NOP
2,-2,2,Layup Shot,25.380078705039505,101126.0,Nate Robinson,10.53141,16.17981,Missed Shot,20151027,14,21500003,Shot Chart Detail,1.0,GSW,35,14,9,1,201939,Stephen Curry,Regular,34,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:1:9:34,NOP
3,3,3,Jump Shot,15.828106633874436,201569.0,Eric Gordon,42.95691,42.10535,Made Shot,20151027,19,21500003,Shot Chart Detail,1.0,GSW,57,35,9,1,201939,Stephen Curry,Regular,13,1,27,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:9:13,NOP
4,3,4,Running Layup Shot,25.998738278297274,201967.0,Dante Cunningham,2.12244,28.83095,Made Shot,20151027,36,21500003,Shot Chart Detail,1.0,GSW,26,36,7,1,201939,Stephen Curry,Regular,11,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:1:7:11,NOP
5,4,5,Jump Shot,15.86281868315023,203076.0,Anthony Davis,60.19554,13.29035,Made Shot,20151027,38,21500003,Shot Chart Detail,1.0,GSW,51,26,6,1,201939,Stephen Curry,Regular,45,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:6:45,NOP
6,6,6,Jump Shot,3.925359951813336,2570.0,Kendrick Perkins,51.12793,35.28009,Made Shot,20151027,46,21500003,Shot Chart Detail,1.0,GSW,53,32,5,1,201939,Stephen Curry,Regular,50,1,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500003:1:5:50,NOP
7,7,7,Jump Shot,14.524219399461717,2570.0,Kendrick Perkins,38.15559,34.41099,Made Shot,20151027,55,21500003,Shot Chart Detail,1.0,GSW,46,46,5,1,201939,Stephen Curry,Regular,3,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:5:03,NOP
8,12,8,Step Back Jump shot,4.56703810644273,203076.0,Anthony Davis,29.12397,1.23386,Made Shot,20151027,68,21500003,Shot Chart Detail,1.0,GSW,32,-2,3,1,201939,Stephen Curry,Regular,57,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:3:57,NOP
9,9,9,Jump Shot,6.252046270854044,201582.0,Alexis Ajinca,48.73838,34.13083,Missed Shot,20151027,82,21500003,Shot Chart Detail,1.0,GSW,54,34,3,1,201939,Stephen Curry,Regular,6,1,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:1:3:06,NOP
