,Unnamed: 0,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,season_type,time,SCOREMARGIN,homeTeam,defender_id,defender_name,defender_x_loc,defender_y_loc,defender_distance
0,0,Shot Chart Detail,21500003,6,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,56,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,25,1,1,20151027,GSW,NOP,Regular,0021500003:1:10:56,3,1.0,201967.0,Dante Cunningham,7.36032,30.36241,4.713737928247604
1,1,Shot Chart Detail,21500003,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,30,40,1,0,20151027,GSW,NOP,Regular,0021500003:1:10:29,3,1.0,203076.0,Anthony Davis,34.04996,36.92485,5.098999984124334
2,2,Shot Chart Detail,21500003,14,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,0,20151027,GSW,NOP,Regular,0021500003:1:9:34,-2,1.0,201967.0,Dante Cunningham,6.18037,25.1473,18.624775867658112
3,3,Shot Chart Detail,21500003,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,48,36,1,1,20151027,GSW,NOP,Regular,0021500003:1:9:13,3,1.0,101126.0,Nate Robinson,31.96091,35.11213,16.23910766262728
4,4,Shot Chart Detail,21500003,36,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,40,1,1,20151027,GSW,NOP,Regular,0021500003:1:7:11,3,1.0,201967.0,Dante Cunningham,1.56609,26.80233,15.156717975036681
5,5,Shot Chart Detail,21500003,38,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,37,19,1,1,20151027,GSW,NOP,Regular,0021500003:1:6:45,4,1.0,201569.0,Eric Gordon,39.82846,4.85617,14.537436621306387
6,6,Shot Chart Detail,21500003,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,44,37,1,1,20151027,GSW,NOP,Regular,0021500003:1:5:50,6,1.0,2570.0,Kendrick Perkins,34.78059,34.02098,10.181823681335286
7,7,Shot Chart Detail,21500003,55,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,29,40,1,1,20151027,GSW,NOP,Regular,0021500003:1:5:03,7,1.0,202397.0,Ish Smith,28.94602,37.88208,3.055982276977401
8,8,Shot Chart Detail,21500003,68,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,22,5,1,1,20151027,GSW,NOP,Regular,0021500003:1:3:57,12,1.0,203076.0,Anthony Davis,21.39232,5.64533,1.402040595703274
9,9,Shot Chart Detail,21500003,82,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,41,34,1,0,20151027,GSW,NOP,Regular,0021500003:1:3:06,9,1.0,201582.0,Alexis Ajinca,39.62127,34.95743,2.2067111492898177
10,10,Shot Chart Detail,21500003,88,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,16,1,1,20151027,GSW,NOP,Regular,0021500003:1:2:45,11,1.0,202397.0,Ish Smith,17.53412,35.06423,18.76117953575947
11,11,Shot Chart Detail,21500003,116,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20151027,GSW,NOP,Regular,0021500003:1:0:45,7,1.0,202397.0,Ish Smith,8.58144,23.38887,3.1140827602522076
12,12,Shot Chart Detail,21500003,127,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,39,49,41,1,0,20151027,GSW,NOP,Regular,0021500003:1:0:01,4,1.0,201582.0,Alexis Ajinca,40.59606,34.8027,10.964240155966118
13,13,Shot Chart Detail,21500003,208,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,16,2,1,0,20151027,GSW,NOP,Regular,0021500003:2:6:03,1,1.0,101126.0,Nate Robinson,14.81551,4.59942,3.001965255661698
14,14,Shot Chart Detail,21500003,221,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,54,Made Shot,Fadeaway Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,12,35,1,1,20151027,GSW,NOP,Regular,0021500003:2:4:54,6,1.0,202087.0,Alonzo Gee,16.27281,31.90839,5.410060179341813
15,15,Shot Chart Detail,21500003,253,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,15,1,1,0,20151027,GSW,NOP,Regular,0021500003:2:2:11,8,1.0,202397.0,Ish Smith,11.52162,2.80863,3.7407433615392534
16,16,Shot Chart Detail,21500003,261,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,16,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,15,1,1,0,20151027,GSW,NOP,Regular,0021500003:2:1:16,10,1.0,201583.0,Ryan Anderson,17.1949,0.92334,1.863054589269999
17,17,Shot Chart Detail,21500003,277,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,30,1,1,20151027,GSW,NOP,Regular,0021500003:2:0:00,10,1.0,201569.0,Eric Gordon,1.73733,25.48531,6.598044575251065
18,18,Shot Chart Detail,21500003,302,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,7,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,92,23,1,1,20151027,GSW,NOP,Regular,0021500003:3:10:07,18,1.0,201967.0,Dante Cunningham,86.6711,22.0659,5.658100241892152
19,19,Shot Chart Detail,21500003,333,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,35,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,92,22,1,1,20151027,GSW,NOP,Regular,0021500003:3:7:35,15,1.0,202397.0,Ish Smith,88.15694,26.11096,5.621260371304639
20,20,Shot Chart Detail,21500003,339,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,83,23,1,0,20151027,GSW,NOP,Regular,0021500003:3:7:14,14,1.0,201967.0,Dante Cunningham,89.24754,23.53293,6.209260651261149
21,21,Shot Chart Detail,21500003,364,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,69,46,1,0,20151027,GSW,NOP,Regular,0021500003:3:5:19,15,1.0,201583.0,Ryan Anderson,66.72208,43.29954,4.019354948608045
22,22,Shot Chart Detail,21500003,366,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,13,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,94,21,1,0,20151027,GSW,NOP,Regular,0021500003:3:5:13,15,1.0,203076.0,Anthony Davis,89.41093,27.37681,7.914534529288504
